br1	br2	counter	inner	outer	nop	nop2	task_clock	context_switches	cpu_migrations	page_faults	cycles	instructions	branches	branch_misses	L1_dcache_loads	L1_dcache_load_misses	LLC_loads	LLC_load_misses	L1_icache_loads	L1_icache_load_misses	dTLB_loads	dTLB_load_misses	iTLB_loads	iTLB_load_misses	L1_dcache_prefetches	L1_dcache_prefetch_misses
1908	1920	2147483648	1	32768	0	0	3590.67	0	0	46	6442431760	15030982549	NA	2613	50917	2467	NA	NA	6442916773	4536	NA	212	NA	165	NA	NA
1908	1924	2147483648	1	32768	0	1	3591.01	0	0	47	6442824475	17178643910	NA	2690	51705	2385	NA	NA	6442679277	4776	NA	220	NA	171	NA	NA
1908	1928	2147483648	1	32768	0	2	4787.19	0	0	46	8589876865	19325883681	NA	2783	51593	2788	NA	NA	6442132994	5649	NA	9	NA	7	NA	NA
1908	1932	2147483648	1	32768	0	3	5988.13	0	0	46	10737506757	21475345924	NA	2269	51334	2850	NA	NA	6441996480	6527	NA	213	NA	205	NA	NA
1908	1936	2147483648	1	32768	0	4	7180.72	0	0	46	12884865044	23620675610	NA	2629	47468	2449	NA	NA	8589892754	7394	NA	217	NA	177	NA	NA
1908	1940	2147483648	1	32768	0	5	8376.66	0	0	46	15032392554	25768557508	NA	2764	51659	2501	NA	NA	8590187911	8311	NA	221	NA	166	NA	NA
1908	1944	2147483648	1	32768	0	6	9573.52	0	0	46	17180224414	27915909021	NA	2770	51499	2801	NA	NA	8589873567	9089	NA	2	NA	4	NA	NA
1908	1948	2147483648	1	32768	0	7	10771.29	0	0	46	19327100348	30064785173	NA	2266	51234	2915	NA	NA	8589789616	9986	NA	232	NA	217	NA	NA
1908	1952	2147483648	1	32768	0	8	11966.95	0	0	46	21474831505	32210834136	NA	2420	47409	2929	NA	NA	10737379895	11100	NA	202	NA	171	NA	NA
1912	1924	2147483648	1	32768	1	0	3590.67	0	0	46	6442405532	15030145467	NA	2664	51534	2392	NA	NA	6442858276	4526	NA	230	NA	175	NA	NA
1912	1928	2147483648	1	32768	1	1	3590.51	0	0	46	6442472386	17178077745	NA	2632	51360	2694	NA	NA	6442800568	4704	NA	217	NA	171	NA	NA
1912	1932	2147483648	1	32768	1	2	4790.60	0	0	46	8590637407	19326137107	NA	2627	51235	2839	NA	NA	6442269998	5652	NA	0	NA	46	NA	NA
1912	1936	2147483648	1	32768	1	3	5983.65	0	0	47	10738132536	21475031729	NA	2556	50759	2846	NA	NA	8589624191	6617	NA	219	NA	1	NA	NA
1912	1940	2147483648	1	32768	1	4	7180.47	0	0	46	12884911478	23622540344	NA	2337	51212	2736	NA	NA	8589770325	7412	NA	210	NA	171	NA	NA
1912	1944	2147483648	1	32768	1	5	8376.62	0	0	46	15032307628	25768398176	NA	2668	50990	2464	NA	NA	8590319588	8129	NA	211	NA	162	NA	NA
1912	1948	2147483648	1	32768	1	6	9573.78	0	0	46	17179724496	27916085675	NA	2580	50883	2692	NA	NA	8589939731	8000	NA	0	NA	178	NA	NA
1912	1952	2147483648	1	32768	1	7	10769.66	0	0	46	19328159559	30064667767	NA	2716	51339	2797	NA	NA	10737282074	10285	NA	220	NA	1	NA	NA
1912	1956	2147483648	1	32768	1	8	11965.92	0	0	47	21474542452	32210617010	NA	2293	47326	2924	NA	NA	10737441879	10990	NA	228	NA	180	NA	NA
1916	1928	2147483648	1	32768	2	0	2992.79	0	0	46	5369283008	15030900163	NA	2772	51397	2774	NA	NA	4294624007	4617	NA	3	NA	15	NA	NA
1916	1932	2147483648	1	32768	2	1	3591.10	0	0	47	6442184000	17177893462	NA	2553	46720	2504	NA	NA	4294972422	4908	NA	220	NA	183	NA	NA
1916	1936	2147483648	1	32768	2	2	4787.45	0	0	47	8590097869	19325856771	NA	2589	51390	2820	NA	NA	6442173446	6021	NA	0	NA	1	NA	NA
1916	1940	2147483648	1	32768	2	3	5984.10	0	0	46	10737893185	21474852890	NA	2620	51255	2829	NA	NA	6442390483	6786	NA	217	NA	7	NA	NA
1916	1944	2147483648	1	32768	2	4	7180.90	0	0	47	12885730507	23621102226	NA	2759	47650	2457	NA	NA	6442268138	7487	NA	209	NA	168	NA	NA
1916	1948	2147483648	1	32768	2	5	8377.53	0	0	46	15032636314	25768419849	NA	2735	51380	2392	NA	NA	6442636874	8366	NA	227	NA	192	NA	NA
1916	1952	2147483648	1	32768	2	6	9582.49	0	0	46	17179069595	27915884194	NA	2445	47740	2744	NA	NA	8590184418	9926	NA	223	NA	316	NA	NA
1916	1956	2147483648	1	32768	2	7	10781.71	0	0	46	19328013775	30064819784	NA	2605	51007	2803	NA	NA	8589891364	10023	NA	260	NA	353	NA	NA
1916	1960	2147483648	1	32768	2	8	11967.23	0	0	46	21474887642	32211183350	NA	2348	47863	2776	NA	NA	8589928695	11124	NA	216	NA	175	NA	NA
1920	1932	2147483648	1	32768	3	0	2992.66	0	0	46	5370065365	15032911699	NA	2576	51069	2750	NA	NA	4294667396	4554	NA	214	NA	0	NA	NA
1920	1936	2147483648	1	32768	3	1	3590.85	0	0	46	6442669049	17178577692	NA	2587	51170	2882	NA	NA	6442664631	4295	NA	197	NA	181	NA	NA
1920	1940	2147483648	1	32768	3	2	4787.88	0	0	46	8590029417	19326154807	NA	2707	51218	2828	NA	NA	6442418063	5887	NA	10	NA	15	NA	NA
1920	1944	2147483648	1	32768	3	3	5983.99	0	0	46	10738178119	21475466351	NA	2638	51475	3043	NA	NA	6442239080	6653	NA	193	NA	1	NA	NA
1920	1948	2147483648	1	32768	3	4	7187.14	0	0	47	12884423907	23622526937	NA	2683	46913	2432	NA	NA	6441688379	7740	NA	235	NA	256	NA	NA
1920	1952	2147483648	1	32768	3	5	8377.05	0	0	46	15032202496	25768378243	NA	2751	51604	2990	NA	NA	8590327301	7944	NA	218	NA	169	NA	NA
1920	1956	2147483648	1	32768	3	6	9573.54	0	0	46	17179736562	27916211792	NA	2743	51374	2823	NA	NA	8589876645	8635	NA	1	NA	181	NA	NA
1920	1960	2147483648	1	32768	3	7	10770.11	0	0	47	19328196636	30064595668	NA	2741	51234	2762	NA	NA	8589919793	10161	NA	208	NA	0	NA	NA
1920	1964	2147483648	1	32768	3	8	11977.38	0	0	46	21474874190	32212685289	NA	2737	51666	2831	NA	NA	8589914115	10352	NA	233	NA	187	NA	NA
1924	1936	2147483648	1	32768	4	0	3591.09	0	0	47	6442429200	15030626326	NA	2670	51126	2661	NA	NA	6443046860	4553	NA	223	NA	180	NA	NA
1924	1940	2147483648	1	32768	4	1	3591.11	0	0	46	6442682010	17178510557	NA	2772	51688	2808	NA	NA	6442688076	4225	NA	233	NA	178	NA	NA
1924	1944	2147483648	1	32768	4	2	4787.74	0	0	46	8590104411	19325171667	NA	2718	51464	2912	NA	NA	6442179206	5837	NA	0	NA	0	NA	NA
1924	1948	2147483648	1	32768	4	3	5984.64	0	0	47	10737162115	21475041741	NA	2442	51479	3174	NA	NA	6442290617	6543	NA	223	NA	184	NA	NA
1924	1952	2147483648	1	32768	4	4	7180.88	0	0	46	12884874664	23621050271	NA	2713	47035	2536	NA	NA	8589805319	7707	NA	223	NA	183	NA	NA
1924	1956	2147483648	1	32768	4	5	8376.87	0	0	46	15032318945	25768727046	NA	2612	51001	2367	NA	NA	8590253363	8529	NA	209	NA	175	NA	NA
1924	1960	2147483648	1	32768	4	6	9573.84	0	0	46	17179855944	27916119911	NA	2650	51252	2899	NA	NA	8589848094	8444	NA	0	NA	169	NA	NA
1924	1964	2147483648	1	32768	4	7	10771.49	0	0	46	19327541551	30063172478	NA	2744	51334	2742	NA	NA	8590017310	10102	NA	15	NA	37	NA	NA
1924	1968	2147483648	1	32768	4	8	11967.25	0	0	46	21474756804	32211061521	NA	2193	46884	2759	NA	NA	10737456122	11312	NA	207	NA	159	NA	NA
1928	1940	2147483648	1	32768	5	0	3591.30	0	0	46	6443305783	15031159621	NA	2659	51391	2829	NA	NA	6442699770	4291	NA	227	NA	173	NA	NA
1928	1944	2147483648	1	32768	5	1	3593.12	0	0	46	6443038460	17177198512	NA	2630	51420	2889	NA	NA	6441606797	4288	NA	0	NA	187	NA	NA
1928	1948	2147483648	1	32768	5	2	4787.61	0	0	46	8590417953	19325770919	NA	2720	51335	2993	NA	NA	6442073217	5824	NA	0	NA	1	NA	NA
1928	1952	2147483648	1	32768	5	3	5984.33	0	0	46	10737805402	21475468600	NA	2116	50839	2849	NA	NA	8589600287	6923	NA	213	NA	187	NA	NA
1928	1956	2147483648	1	32768	5	4	7180.64	0	0	46	12884799372	23620789522	NA	2341	47449	2780	NA	NA	8589786365	7644	NA	220	NA	168	NA	NA
1928	1960	2147483648	1	32768	5	5	8378.30	0	0	47	15032182478	25768312474	NA	2723	51234	2853	NA	NA	8590402883	7612	NA	211	NA	160	NA	NA
1928	1964	2147483648	1	32768	5	6	9573.62	0	0	46	17179908192	27916060642	NA	2633	51371	2831	NA	NA	8589895595	8247	NA	0	NA	164	NA	NA
1928	1968	2147483648	1	32768	5	7	10771.59	0	0	47	19327645311	30064932194	NA	2370	51444	2892	NA	NA	10737151307	10559	NA	229	NA	177	NA	NA
1928	1972	2147483648	1	32768	5	8	11968.61	0	0	46	21474834507	32209756533	NA	2365	47513	2733	NA	NA	10737155578	11373	NA	238	NA	225	NA	NA
1932	1944	2147483648	1	32768	6	0	2993.23	0	0	47	5369085743	15029613583	NA	2697	51297	2911	NA	NA	4294803937	4285	NA	3	NA	13	NA	NA
1932	1948	2147483648	1	32768	6	1	3591.22	0	0	47	6442354536	17177830383	NA	2615	51135	2874	NA	NA	4295228453	3708	NA	215	NA	168	NA	NA
1932	1952	2147483648	1	32768	6	2	4791.78	0	0	46	8591260081	19328489179	NA	2597	51437	2828	NA	NA	6442133054	5200	NA	223	NA	36	NA	NA
1932	1956	2147483648	1	32768	6	3	5984.23	0	0	46	10737842189	21474548080	NA	2563	51006	2952	NA	NA	6442332760	5695	NA	204	NA	1	NA	NA
1932	1960	2147483648	1	32768	6	4	7186.57	0	0	47	12884879341	23619627291	NA	2772	51424	2383	NA	NA	6442702659	6264	NA	227	NA	246	NA	NA
1932	1964	2147483648	1	32768	6	5	8377.63	0	0	47	15032220814	25768653498	NA	2648	51196	2823	NA	NA	6442678239	6782	NA	205	NA	189	NA	NA
1932	1968	2147483648	1	32768	6	6	9573.71	0	0	47	17180364611	27916219530	NA	2723	51389	2833	NA	NA	8589866113	7481	NA	0	NA	2	NA	NA
1932	1972	2147483648	1	32768	6	7	10770.68	0	0	47	19328677372	30064599576	NA	2637	51112	2785	NA	NA	8589910752	8073	NA	219	NA	9	NA	NA
1932	1976	2147483648	1	32768	6	8	11976.17	0	0	46	21474929835	32209851889	NA	2739	51617	2771	NA	NA	8589838241	8049	NA	245	NA	282	NA	NA
1936	1948	2147483648	1	32768	7	0	2992.88	0	0	49	5369331686	15030210413	NA	2666	51125	2766	NA	NA	4294551767	4234	NA	0	NA	0	NA	NA
1936	1952	2147483648	1	32768	7	1	3590.69	0	0	47	6442653062	17178314421	NA	2582	51266	2802	NA	NA	6442672491	3740	NA	206	NA	180	NA	NA
1936	1956	2147483648	1	32768	7	2	4790.71	0	0	46	8590605623	19327053608	NA	2698	51723	2982	NA	NA	6441386491	5327	NA	10	NA	40	NA	NA
1936	1960	2147483648	1	32768	7	3	5984.67	0	0	46	10738094076	21474758608	NA	2578	50987	2828	NA	NA	6442166769	5725	NA	217	NA	0	NA	NA
1936	1964	2147483648	1	32768	7	4	7181.83	0	0	46	12884933163	23621153929	NA	2708	47340	2444	NA	NA	6442426162	6342	NA	227	NA	187	NA	NA
1936	1968	2147483648	1	32768	7	5	8377.71	0	0	46	15032325462	25768208787	NA	2637	51196	2884	NA	NA	8590247122	6936	NA	199	NA	165	NA	NA
1936	1972	2147483648	1	32768	7	6	9574.30	0	0	46	17179704273	27916227681	NA	2716	51210	2797	NA	NA	8589762730	6759	NA	4	NA	179	NA	NA
1936	1976	2147483648	1	32768	7	7	10770.91	0	0	46	19327825238	30064635355	NA	2707	51310	3423	NA	NA	8589916682	8083	NA	205	NA	4	NA	NA
1936	1980	2147483648	1	32768	7	8	11967.53	0	0	47	21475058155	32211237202	NA	2388	47613	2867	NA	NA	8589909931	8724	NA	200	NA	183	NA	NA
1940	1952	2147483648	1	32768	8	0	3591.42	0	0	46	6442280627	15031026035	NA	2714	51762	2714	NA	NA	6442685265	3781	NA	226	NA	178	NA	NA
1940	1956	2147483648	1	32768	8	1	3590.78	0	0	47	6442599974	17177803815	NA	2617	51053	2793	NA	NA	6442796539	3756	NA	206	NA	181	NA	NA
1940	1960	2147483648	1	32768	8	2	4788.15	0	0	46	8590358644	19326129836	NA	2753	51488	2824	NA	NA	6442131997	5123	NA	0	NA	3	NA	NA
1940	1964	2147483648	1	32768	8	3	5984.60	0	0	47	10737520821	21474902257	NA	2808	51211	2854	NA	NA	6442327773	5658	NA	226	NA	0	NA	NA
1940	1968	2147483648	1	32768	8	4	7180.70	0	0	47	12885036621	23621057091	NA	2367	47646	2762	NA	NA	8589695837	6376	NA	207	NA	166	NA	NA
1940	1972	2147483648	1	32768	8	5	8377.36	0	0	47	15032444733	25768534399	NA	2700	51538	2476	NA	NA	8590143989	6958	NA	221	NA	174	NA	NA
1940	1976	2147483648	1	32768	8	6	9577.41	0	0	48	17180121379	27916364137	NA	2817	51531	2844	NA	NA	8590172551	7575	NA	232	NA	43	NA	NA
1940	1980	2147483648	1	32768	8	7	10771.05	0	0	46	19327564186	30064784544	NA	2713	51693	2911	NA	NA	8589908641	8176	NA	237	NA	61	NA	NA
1940	1984	2147483648	1	32768	8	8	11968.16	0	0	47	21474761196	32211065392	NA	2367	47738	2880	NA	NA	10737505875	8804	NA	223	NA	177	NA	NA
1908	1920	2146959360	10	3276	0	0	3350.72	0	0	47	6011469109	7298995883	NA	3527	51202	2762	NA	NA	4508435467	3649	NA	0	NA	179	NA	NA
1908	1924	2146959360	10	3276	0	1	3350.66	0	0	49	6012514970	7513561898	NA	3699	51631	2803	NA	NA	4508381849	4482	NA	0	NA	0	NA	NA
1908	1928	2146959360	10	3276	0	2	3350.89	0	0	46	6011944656	7728395580	NA	3602	51071	2877	NA	NA	4508298553	4462	NA	0	NA	1	NA	NA
1908	1932	2146959360	10	3276	0	3	3350.47	0	0	46	6011565113	7943161515	NA	3662	51442	2858	NA	NA	4508320829	4471	NA	0	NA	0	NA	NA
1908	1936	2146959360	10	3276	0	4	3350.63	0	0	47	6012203130	8157556087	NA	3326	51001	2799	NA	NA	4723074580	4538	NA	0	NA	0	NA	NA
1908	1940	2146959360	10	3276	0	5	3350.57	0	0	47	6011524135	8372588698	NA	3325	51457	3155	NA	NA	4722963046	4549	NA	0	NA	1	NA	NA
1908	1944	2146959360	10	3276	0	6	3350.56	0	0	46	6012045494	8587069121	NA	3381	51240	2842	NA	NA	4723069416	4635	NA	3	NA	4	NA	NA
1908	1948	2146959360	10	3276	0	7	3351.38	0	0	46	6013109714	8802554661	NA	3600	51596	2854	NA	NA	4723303503	4652	NA	225	NA	27	NA	NA
1908	1952	2146959360	10	3276	0	8	3470.23	0	0	46	6226318805	9017547460	NA	2969	51098	2730	NA	NA	4937649548	4743	NA	211	NA	170	NA	NA
1912	1924	2146959360	10	3276	1	0	3231.09	0	0	46	5797300196	7298920274	NA	3462	51023	2990	NA	NA	2576609676	3533	NA	218	NA	172	NA	NA
1912	1928	2146959360	10	3276	1	1	3231.30	0	0	46	5796853806	7513919088	NA	3583	51213	2763	NA	NA	2576402937	3662	NA	203	NA	170	NA	NA
1912	1932	2146959360	10	3276	1	2	3231.16	0	0	46	5796994241	7728391519	NA	3654	51239	2730	NA	NA	2576585616	3582	NA	223	NA	165	NA	NA
1912	1936	2146959360	10	3276	1	3	3231.51	0	0	48	5797159648	7943260618	NA	3735	51203	2903	NA	NA	2790957533	3719	NA	25	NA	178	NA	NA
1912	1940	2146959360	10	3276	1	4	3230.86	0	0	46	5796973139	8157931815	NA	3404	51441	2793	NA	NA	2791163693	3796	NA	230	NA	171	NA	NA
1912	1944	2146959360	10	3276	1	5	3231.15	0	0	47	5796880858	8372288709	NA	3381	51962	2792	NA	NA	2791294191	3776	NA	221	NA	172	NA	NA
1912	1948	2146959360	10	3276	1	6	3231.14	0	0	46	5796718918	8587117128	NA	3525	51327	2892	NA	NA	2791184206	3794	NA	203	NA	168	NA	NA
1912	1952	2146959360	10	3276	1	7	3350.76	0	0	46	6012159098	8801371794	NA	3207	51086	2785	NA	NA	3005598112	4684	NA	0	NA	0	NA	NA
1912	1956	2146959360	10	3276	1	8	3350.80	0	0	46	6011673223	9016429444	NA	3469	51222	2847	NA	NA	3005575213	4671	NA	0	NA	0	NA	NA
1916	1928	2146959360	10	3276	2	0	3111.53	0	0	46	5582157764	7299115234	NA	3154	47414	2807	NA	NA	2361536566	4362	NA	222	NA	168	NA	NA
1916	1932	2146959360	10	3276	2	1	3111.18	0	0	46	5581922468	7514369523	NA	3213	51219	2759	NA	NA	2361571262	4380	NA	234	NA	162	NA	NA
1916	1936	2146959360	10	3276	2	2	3111.40	0	0	46	5582107377	7728324625	NA	3162	47818	2881	NA	NA	2576178503	4498	NA	217	NA	168	NA	NA
1916	1940	2146959360	10	3276	2	3	3115.39	0	0	46	5581077732	7941204843	NA	3890	47614	2695	NA	NA	2576591136	4673	NA	217	NA	250	NA	NA
1916	1944	2146959360	10	3276	2	4	3112.45	0	0	47	5582281132	8157300444	NA	3666	47380	2392	NA	NA	2576071377	4605	NA	203	NA	180	NA	NA
1916	1948	2146959360	10	3276	2	5	3112.18	0	0	47	5581928496	8374273894	NA	2958	50687	2912	NA	NA	2576174366	4609	NA	211	NA	219	NA	NA
1916	1952	2146959360	10	3276	2	6	3231.29	0	0	46	5796672822	8586594126	NA	3350	51426	2797	NA	NA	2791411072	3824	NA	215	NA	177	NA	NA
1916	1956	2146959360	10	3276	2	7	3231.08	0	0	46	5797619694	8801693416	NA	3331	51225	2740	NA	NA	2791133716	3901	NA	217	NA	163	NA	NA
1916	1960	2146959360	10	3276	2	8	3231.01	0	0	46	5796943909	9016381798	NA	3342	51283	2775	NA	NA	2791253008	3888	NA	209	NA	167	NA	NA
1920	1932	2146959360	10	3276	3	0	2992.06	0	0	47	5368330531	7298731883	NA	3517	51399	2856	NA	NA	4293639521	4304	NA	0	NA	1	NA	NA
1920	1936	2146959360	10	3276	3	1	3351.06	0	0	46	6011621838	7513655841	NA	3478	51189	2698	NA	NA	4508302652	4501	NA	0	NA	1	NA	NA
1920	1940	2146959360	10	3276	3	2	3351.51	0	0	47	6012349753	7728281711	NA	3749	51331	2763	NA	NA	4508127987	4586	NA	1	NA	18	NA	NA
1920	1944	2146959360	10	3276	3	3	3350.82	0	0	46	6011459029	7942715267	NA	3451	50810	2798	NA	NA	4508543459	4527	NA	0	NA	0	NA	NA
1920	1948	2146959360	10	3276	3	4	3350.80	0	0	46	6012308528	8157797508	NA	3736	51065	2808	NA	NA	4508428677	4602	NA	0	NA	4	NA	NA
1920	1952	2146959360	10	3276	3	5	3351.06	0	0	46	6013300421	8372604148	NA	3543	51359	2830	NA	NA	4723004595	4664	NA	3	NA	1	NA	NA
1920	1956	2146959360	10	3276	3	6	3350.97	0	0	46	6012274907	8586903104	NA	3403	50859	2880	NA	NA	4723086055	4656	NA	0	NA	0	NA	NA
1920	1960	2146959360	10	3276	3	7	3350.83	0	0	47	6012103415	8801986999	NA	3328	50787	2739	NA	NA	4722845939	4645	NA	0	NA	4	NA	NA
1920	1964	2146959360	10	3276	3	8	3350.74	0	0	47	6012061893	9016380974	NA	3363	51634	2827	NA	NA	4723088159	4618	NA	0	NA	0	NA	NA
1924	1936	2146959360	10	3276	4	0	3351.19	0	0	47	6012834197	7299790222	NA	3741	51558	2986	NA	NA	4508370938	4480	NA	222	NA	12	NA	NA
1924	1940	2146959360	10	3276	4	1	3350.92	0	0	46	6011463185	7513508236	NA	3590	51384	2777	NA	NA	4508519125	4577	NA	0	NA	1	NA	NA
1924	1944	2146959360	10	3276	4	2	3351.10	0	0	46	6011945033	7728405241	NA	3470	51011	2773	NA	NA	4508257724	4525	NA	0	NA	0	NA	NA
1924	1948	2146959360	10	3276	4	3	3350.93	0	0	46	6012173019	7942915908	NA	3514	51351	2865	NA	NA	4508274580	4583	NA	0	NA	0	NA	NA
1924	1952	2146959360	10	3276	4	4	3350.79	0	0	47	6012212232	8157933891	NA	3563	51332	2766	NA	NA	4722945991	4655	NA	0	NA	1	NA	NA
1924	1956	2146959360	10	3276	4	5	3350.87	0	0	46	6011519283	8372312589	NA	3525	51508	2835	NA	NA	4723138655	4610	NA	0	NA	0	NA	NA
1924	1960	2146959360	10	3276	4	6	3351.05	0	0	47	6011582240	8586909693	NA	3440	51269	2924	NA	NA	4722928306	4673	NA	0	NA	1	NA	NA
1924	1964	2146959360	10	3276	4	7	3350.73	0	0	46	6013082003	8801856430	NA	3198	51072	2890	NA	NA	4722828134	4678	NA	0	NA	1	NA	NA
1924	1968	2146959360	10	3276	4	8	3470.51	0	0	46	6226345705	9016364142	NA	3035	47553	2841	NA	NA	4937626629	4810	NA	217	NA	165	NA	NA
1928	1940	2146959360	10	3276	5	0	3233.26	0	0	47	5797581506	7299075714	NA	3798	51034	2846	NA	NA	2576437455	4283	NA	226	NA	213	NA	NA
1928	1944	2146959360	10	3276	5	1	3233.45	0	0	47	5797496729	7515217554	NA	3892	51244	2752	NA	NA	2576290987	4299	NA	0	NA	181	NA	NA
1928	1948	2146959360	10	3276	5	2	3231.55	0	0	46	5796704580	7728095968	NA	3687	51158	2885	NA	NA	2576271270	4266	NA	56	NA	190	NA	NA
1928	1952	2146959360	10	3276	5	3	3232.14	0	0	46	5797027556	7942989903	NA	3670	51653	2862	NA	NA	2791327368	4451	NA	214	NA	179	NA	NA
1928	1956	2146959360	10	3276	5	4	3235.46	0	0	46	5796709606	8155760324	NA	3909	51186	2858	NA	NA	2791355887	4491	NA	5	NA	200	NA	NA
1928	1960	2146959360	10	3276	5	5	3231.24	0	0	46	5796819204	8372358586	NA	3405	51259	2770	NA	NA	2791300109	4240	NA	218	NA	172	NA	NA
1928	1964	2146959360	10	3276	5	6	3234.30	0	0	46	5796676882	8586251093	NA	3907	50971	2873	NA	NA	2790750220	4305	NA	5	NA	193	NA	NA
1928	1968	2146959360	10	3276	5	7	3352.02	0	0	46	6012180101	8803129112	NA	3428	51085	2855	NA	NA	3005577827	5226	NA	225	NA	7	NA	NA
1928	1972	2146959360	10	3276	5	8	3350.99	0	0	47	6012593777	9016300272	NA	3496	51757	2872	NA	NA	3005531843	5199	NA	1	NA	1	NA	NA
1932	1944	2146959360	10	3276	6	0	3111.57	0	0	46	5582615690	7299024616	NA	3202	47338	2751	NA	NA	2361447624	4243	NA	228	NA	183	NA	NA
1932	1948	2146959360	10	3276	6	1	3111.66	0	0	46	5581969268	7513393256	NA	3120	47183	3060	NA	NA	2361536956	4316	NA	210	NA	177	NA	NA
1932	1952	2146959360	10	3276	6	2	3111.59	0	0	46	5582538795	7728433194	NA	3130	47372	2901	NA	NA	2576145112	4291	NA	214	NA	171	NA	NA
1932	1956	2146959360	10	3276	6	3	3111.64	0	0	46	5582071983	7943032459	NA	3107	48944	2824	NA	NA	2576241695	4369	NA	213	NA	171	NA	NA
1932	1960	2146959360	10	3276	6	4	3111.83	0	0	47	5582206234	8157819993	NA	3059	47409	2833	NA	NA	2576201822	4323	NA	225	NA	178	NA	NA
1932	1964	2146959360	10	3276	6	5	3111.81	0	0	46	5582239538	8372800223	NA	3005	47799	2837	NA	NA	2576263949	4303	NA	202	NA	168	NA	NA
1932	1968	2146959360	10	3276	6	6	3231.61	0	0	47	5797050371	8587218361	NA	3179	50817	2810	NA	NA	2791306537	3535	NA	205	NA	173	NA	NA
1932	1972	2146959360	10	3276	6	7	3231.73	0	0	47	5796822187	8801633782	NA	3525	51940	2848	NA	NA	2791375868	3605	NA	217	NA	181	NA	NA
1932	1976	2146959360	10	3276	6	8	3231.06	0	0	47	5797543618	9016443584	NA	3450	51956	2799	NA	NA	2791221419	3609	NA	203	NA	175	NA	NA
1936	1948	2146959360	10	3276	7	0	2992.12	0	0	47	5368169048	7299035305	NA	5685	51601	2874	NA	NA	4293668064	4342	NA	0	NA	1	NA	NA
1936	1952	2146959360	10	3276	7	1	3351.28	0	0	46	6012530015	7513707654	NA	3534	51432	2897	NA	NA	4508241566	4366	NA	0	NA	4	NA	NA
1936	1956	2146959360	10	3276	7	2	3351.42	0	0	48	6011865103	7727863001	NA	3837	51229	2782	NA	NA	4508854571	4436	NA	1	NA	34	NA	NA
1936	1960	2146959360	10	3276	7	3	3350.97	0	0	46	6012451137	7943336813	NA	3620	51967	2870	NA	NA	4508180343	4404	NA	0	NA	6	NA	NA
1936	1964	2146959360	10	3276	7	4	3351.07	0	0	46	6012301783	8157735687	NA	3332	51078	2846	NA	NA	4508268947	4416	NA	0	NA	0	NA	NA
1936	1968	2146959360	10	3276	7	5	3350.91	0	0	46	6012154027	8372269563	NA	3582	51669	2951	NA	NA	4723071657	4412	NA	0	NA	0	NA	NA
1936	1972	2146959360	10	3276	7	6	3351.34	0	0	46	6012132970	8586625112	NA	3479	51263	2845	NA	NA	4723137348	4402	NA	0	NA	0	NA	NA
1936	1976	2146959360	10	3276	7	7	3351.24	0	0	47	6012840899	8801562224	NA	3392	51173	2757	NA	NA	4723088163	4367	NA	0	NA	0	NA	NA
1936	1980	2146959360	10	3276	7	8	3351.13	0	0	46	6012432874	9016355239	NA	3579	51599	2840	NA	NA	4722983330	4474	NA	0	NA	0	NA	NA
1940	1952	2146959360	10	3276	8	0	3350.75	0	0	47	6012421010	7299144491	NA	3437	51321	2784	NA	NA	4508352853	4397	NA	0	NA	0	NA	NA
1940	1956	2146959360	10	3276	8	1	3351.10	0	0	46	6012347608	7513668672	NA	3597	51421	2879	NA	NA	4508180312	4467	NA	0	NA	4	NA	NA
1940	1960	2146959360	10	3276	8	2	3350.79	0	0	46	6012482181	7728285819	NA	3713	51648	2898	NA	NA	4508383629	4425	NA	0	NA	3	NA	NA
1940	1964	2146959360	10	3276	8	3	3351.26	0	0	46	6011554335	7942830371	NA	3601	51492	2714	NA	NA	4508446611	4400	NA	0	NA	1	NA	NA
1940	1968	2146959360	10	3276	8	4	3351.77	0	0	47	6012079805	8157792348	NA	3484	51403	2846	NA	NA	4723017221	4406	NA	1	NA	18	NA	NA
1940	1972	2146959360	10	3276	8	5	3356.65	0	0	46	6011436640	8371266193	NA	3653	47544	2848	NA	NA	4722631460	4762	NA	244	NA	396	NA	NA
1940	1976	2146959360	10	3276	8	6	3351.02	0	0	47	6012210840	8586772221	NA	3424	51050	2734	NA	NA	4723127930	4434	NA	1	NA	1	NA	NA
1940	1980	2146959360	10	3276	8	7	3353.04	0	0	46	6012804162	8801582472	NA	3706	51659	2825	NA	NA	4723818641	4441	NA	0	NA	3	NA	NA
1940	1984	2146959360	10	3276	8	8	3470.38	0	0	46	6226095196	9017312659	NA	3057	50805	2826	NA	NA	4937763863	4453	NA	211	NA	171	NA	NA
1908	1920	2146828288	11	2978	0	0	3263.31	0	0	46	5856242826	7220667281	NA	3574	51184	2338	NA	NA	4489020101	4311	NA	200	NA	169	NA	NA
1908	1924	2146828288	11	2978	0	1	3263.59	0	0	46	5855024457	7415548095	NA	3605	51383	2432	NA	NA	4489353671	4411	NA	203	NA	181	NA	NA
1908	1928	2146828288	11	2978	0	2	3263.49	0	0	47	5855123786	7610397085	NA	3385	51023	2611	NA	NA	4489202045	4479	NA	221	NA	169	NA	NA
1908	1932	2146828288	11	2978	0	3	3263.85	0	0	47	5855324816	7805657647	NA	3487	51492	2522	NA	NA	4489193128	4456	NA	224	NA	169	NA	NA
